indice 	 numero de palavras neste indice 
0 	 2
1 	 10
2 	 46
3 	 22
4 	 36
5 	 39
6 	 1
7 	 29
8 	 4
9 	 18
10 	 2
11 	 8
12 	 74
13 	 3
14 	 63
15 	 6
16 	 1
17 	 9
18 	 47
19 	 34
20 	 43
21 	 24
22 	 1
23 	 25
24 	 4
25 	 22
26 	 1
27 	 7
28 	 80
29 	 3
30 	 75
31 	 6
32 	 1
33 	 9
34 	 62
35 	 47
36 	 30
37 	 37
38 	 4
39 	 32
40 	 3
41 	 11
42 	 0
43 	 8
44 	 75
45 	 2
46 	 69
47 	 5
48 	 2
49 	 7
50 	 66
51 	 25
52 	 42
53 	 24
54 	 3
55 	 26
56 	 5
57 	 30
58 	 3
59 	 9
60 	 72
61 	 4
62 	 67
63 	 7
64 	 2
65 	 7
66 	 42
67 	 39
68 	 44
69 	 27
70 	 1
71 	 23
72 	 4
73 	 17
74 	 1
75 	 10
76 	 80
77 	 2
78 	 66
79 	 7
80 	 1
81 	 3
82 	 63
83 	 29
84 	 40
85 	 33
86 	 1
87 	 21
88 	 7
89 	 11
90 	 0
91 	 5
92 	 70
93 	 4
94 	 69
95 	 8
96 	 3
97 	 6
98 	 47
99 	 42
100 	 47
101 	 31
102 	 2
103 	 24
104 	 8
105 	 17
106 	 2
107 	 5
108 	 71
109 	 4
110 	 57
111 	 5
112 	 1
113 	 6
114 	 61
115 	 38
116 	 46
117 	 22
118 	 1
119 	 25
120 	 3
121 	 16
122 	 1
123 	 5
124 	 72
125 	 5
126 	 64
127 	 6
128 	 2
129 	 13
130 	 63
131 	 32
132 	 43
133 	 23
134 	 0
135 	 28
136 	 4
137 	 18
138 	 0
139 	 9
140 	 68
141 	 2
142 	 52
143 	 3
144 	 1
145 	 2
146 	 57
147 	 41
148 	 46
149 	 27
150 	 2
151 	 28
152 	 2
153 	 19
154 	 3
155 	 5
156 	 49
157 	 3
158 	 49
159 	 10
160 	 1
161 	 3
162 	 53
163 	 38
164 	 49
165 	 16
166 	 1
167 	 26
168 	 2
169 	 10
170 	 2
171 	 8
172 	 75
173 	 2
174 	 67
175 	 3
176 	 2
177 	 6
178 	 42
179 	 37
180 	 44
181 	 32
182 	 2
183 	 23
184 	 4
185 	 20
186 	 2
187 	 8
188 	 76
189 	 2
190 	 62
191 	 3
192 	 1
193 	 11
194 	 57
195 	 35
196 	 42
197 	 26
198 	 0
199 	 30
200 	 3
201 	 20
202 	 0
203 	 6
204 	 69
205 	 1
206 	 56
207 	 5
208 	 1
209 	 12
210 	 41
211 	 35
212 	 29
213 	 37
214 	 0
215 	 18
216 	 4
217 	 11
218 	 0
219 	 9
220 	 75
221 	 3
222 	 66
223 	 4
224 	 0
225 	 6
226 	 57
227 	 26
228 	 44
229 	 25
230 	 1
231 	 27
232 	 4
233 	 9
234 	 2
235 	 12
236 	 78
237 	 0
238 	 68
239 	 10
240 	 4
241 	 5
242 	 47
243 	 25
244 	 40
245 	 31
246 	 0
247 	 31
248 	 5
249 	 21
250 	 2
251 	 9
252 	 74
253 	 0
254 	 86
255 	 6
256 	 2
257 	 6
258 	 46
259 	 32
260 	 38
261 	 24
262 	 4
263 	 22
264 	 7
265 	 19
266 	 1
267 	 7
268 	 86
269 	 1
270 	 79
271 	 4
272 	 2
273 	 4
274 	 63
275 	 39
276 	 51
277 	 18
278 	 0
279 	 17
280 	 1
281 	 14
282 	 2
283 	 10
284 	 68
285 	 3
286 	 65
287 	 9
288 	 1
289 	 13
290 	 65
291 	 39
292 	 39
293 	 24
294 	 3
295 	 31
296 	 4
297 	 15
298 	 1
299 	 8
300 	 73
301 	 2
302 	 68
303 	 3
304 	 1
305 	 8
306 	 53
307 	 36
308 	 40
309 	 28
310 	 1
311 	 29
312 	 4
313 	 18
314 	 3
315 	 8
316 	 78
317 	 3
318 	 74
319 	 8
320 	 3
321 	 8
322 	 55
323 	 37
324 	 45
325 	 27
326 	 1
327 	 33
328 	 4
329 	 28
330 	 0
331 	 7
332 	 56
333 	 1
