indice 	 numero de palavras neste indice 
0 	 115
1 	 51
2 	 130
3 	 63
4 	 114
5 	 53
6 	 112
7 	 81
8 	 120
9 	 60
10 	 132
11 	 75
12 	 130
13 	 46
14 	 124
15 	 78
16 	 137
17 	 58
18 	 122
19 	 73
20 	 121
21 	 44
22 	 121
23 	 75
24 	 126
25 	 53
26 	 111
27 	 73
28 	 135
29 	 51
30 	 130
31 	 65
32 	 120
33 	 52
34 	 123
35 	 85
36 	 103
37 	 63
38 	 126
39 	 83
40 	 121
41 	 44
42 	 125
43 	 61
44 	 114
45 	 48
46 	 114
47 	 70
48 	 116
49 	 54
50 	 124
51 	 61
52 	 113
53 	 50
54 	 131
55 	 76
56 	 108
57 	 56
58 	 129
59 	 69
60 	 132
61 	 46
62 	 120
63 	 62
64 	 113
65 	 57
66 	 101
67 	 73
68 	 114
69 	 53
70 	 116
71 	 67
72 	 127
73 	 51
74 	 124
75 	 76
76 	 127
77 	 45
78 	 126
79 	 83
80 	 88
81 	 59
82 	 110
83 	 66
84 	 111
85 	 60
86 	 124
87 	 79
88 	 122
89 	 43
90 	 117
91 	 82
92 	 120
93 	 53
94 	 127
95 	 64
96 	 128
97 	 49
98 	 114
99 	 82
100 	 108
101 	 57
102 	 123
103 	 66
104 	 140
105 	 54
106 	 122
107 	 69
108 	 115
109 	 55
110 	 108
111 	 81
112 	 125
113 	 51
114 	 131
115 	 76
116 	 137
117 	 43
118 	 143
119 	 67
120 	 130
121 	 49
122 	 128
123 	 69
124 	 133
125 	 44
126 	 128
127 	 73
128 	 94
129 	 52
130 	 126
131 	 58
132 	 109
133 	 52
134 	 111
135 	 71
136 	 134
137 	 51
138 	 119
139 	 70
140 	 117
141 	 43
142 	 109
143 	 56
144 	 135
145 	 44
146 	 127
147 	 83
148 	 127
149 	 50
150 	 126
151 	 70
152 	 122
153 	 58
154 	 127
155 	 78
156 	 99
157 	 49
158 	 119
159 	 83
160 	 127
161 	 43
162 	 109
163 	 82
164 	 118
165 	 50
166 	 113
167 	 84
168 	 109
169 	 54
170 	 138
171 	 78
172 	 127
173 	 49
174 	 120
175 	 79
176 	 129
177 	 44
178 	 112
179 	 61
180 	 106
181 	 54
182 	 122
183 	 63
184 	 121
185 	 54
186 	 137
187 	 66
188 	 115
189 	 51
190 	 107
191 	 69
192 	 106
193 	 56
194 	 106
195 	 74
196 	 123
197 	 44
198 	 132
199 	 76
200 	 114
201 	 62
202 	 139
203 	 79
204 	 129
205 	 40
206 	 129
207 	 58
208 	 110
209 	 58
210 	 104
211 	 78
212 	 115
213 	 62
214 	 129
215 	 68
216 	 107
217 	 58
218 	 120
219 	 76
220 	 125
221 	 50
222 	 146
223 	 76
224 	 127
225 	 65
226 	 126
227 	 72
228 	 133
229 	 60
230 	 114
231 	 76
232 	 137
233 	 35
234 	 126
235 	 60
236 	 131
237 	 47
238 	 122
239 	 84
240 	 114
241 	 39
242 	 109
243 	 61
244 	 116
245 	 53
246 	 118
247 	 79
248 	 125
249 	 55
250 	 112
251 	 72
252 	 119
253 	 51
254 	 153
255 	 71
256 	 134
257 	 49
258 	 138
259 	 74
260 	 109
261 	 45
262 	 111
263 	 66
264 	 133
265 	 50
266 	 126
267 	 73
268 	 133
269 	 47
270 	 127
271 	 74
272 	 127
273 	 46
274 	 142
275 	 85
276 	 125
277 	 41
278 	 109
279 	 70
280 	 116
281 	 45
282 	 127
283 	 67
284 	 124
285 	 43
286 	 116
287 	 68
288 	 113
289 	 51
290 	 115
291 	 72
292 	 99
293 	 56
294 	 129
295 	 86
296 	 140
297 	 50
298 	 134
299 	 82
300 	 115
301 	 47
302 	 144
303 	 71
304 	 139
305 	 63
306 	 131
307 	 80
308 	 102
309 	 49
310 	 142
311 	 74
312 	 100
313 	 62
314 	 122
315 	 69
316 	 125
317 	 50
318 	 139
319 	 72
320 	 129
321 	 65
322 	 125
323 	 88
324 	 124
325 	 60
326 	 126
327 	 92
328 	 122
329 	 61
330 	 127
331 	 61
332 	 104
333 	 49
334 	 116
335 	 78
336 	 135
337 	 56
338 	 148
339 	 70
340 	 129
341 	 49
342 	 115
343 	 74
344 	 109
345 	 55
346 	 147
347 	 85
348 	 123
349 	 48
350 	 138
351 	 74
352 	 114
353 	 44
354 	 135
355 	 89
356 	 115
357 	 51
358 	 129
359 	 73
360 	 118
361 	 41
362 	 119
363 	 76
364 	 118
365 	 49
366 	 128
367 	 77
368 	 120
369 	 47
370 	 135
371 	 69
372 	 122
373 	 53
374 	 124
375 	 73
376 	 132
377 	 49
378 	 116
379 	 70
380 	 106
381 	 48
382 	 109
383 	 70
384 	 125
385 	 52
386 	 135
387 	 73
388 	 114
389 	 50
390 	 138
391 	 72
392 	 123
393 	 45
394 	 111
395 	 67
396 	 131
397 	 53
398 	 125
399 	 73
400 	 103
401 	 53
402 	 126
403 	 68
404 	 122
405 	 48
406 	 131
407 	 69
408 	 103
409 	 39
410 	 129
411 	 77
412 	 118
413 	 39
414 	 131
415 	 76
416 	 110
417 	 57
418 	 121
419 	 69
420 	 104
421 	 38
422 	 123
423 	 72
424 	 130
425 	 65
426 	 97
427 	 84
428 	 116
429 	 40
430 	 113
431 	 52
432 	 117
433 	 53
434 	 127
435 	 79
436 	 113
437 	 57
438 	 125
439 	 79
440 	 117
441 	 48
442 	 123
443 	 85
444 	 113
445 	 66
446 	 133
447 	 70
448 	 130
449 	 45
450 	 118
451 	 84
452 	 106
453 	 58
454 	 118
455 	 68
456 	 124
457 	 40
458 	 105
459 	 66
460 	 117
461 	 40
462 	 112
463 	 69
464 	 144
465 	 40
466 	 144
467 	 84
468 	 119
469 	 57
470 	 143
471 	 60
472 	 127
473 	 53
474 	 126
475 	 68
476 	 131
477 	 34
478 	 134
479 	 81
480 	 103
481 	 61
482 	 113
483 	 69
484 	 126
485 	 41
486 	 113
487 	 63
488 	 111
489 	 66
490 	 109
491 	 75
492 	 120
