Word 	 Count 	 FPos 	 LPos 	 Dmin 	 AvgD 	 Dmax 
month 	 34 	 785 	 645238 	 2 	 19528.88 	 86662 
 such 	 642 	 847 	 656216 	 2 	 1022.35 	 6519 
 breadth 	 6 	 10952 	 481204 	 41589 	 94050.40 	 138688 
 reach 	 58 	 22312 	 654528 	 20 	 11091.51 	 58650 
 Welsh 	 2 	 224907 	 226671 	 1764 	 1764.00 	 1764 
 Scrap 	 1 	 232277 	 232277 	 0 	 0.00 	 0 
 country-trip 	 1 	 232737 	 232737 	 0 	 0.00 	 0 
 Uriah 	 1 	 244737 	 244737 	 0 	 0.00 	 0 
 hash 	 1 	 553660 	 553660 	 0 	 0.00 	 0 
 Touch 	 1 	 612368 	 612368 	 0 	 0.00 	 0 
 Twenty 	 2 	 31490 	 77090 	 45600 	 45600.00 	 45600 
 responsibility 	 15 	 75342 	 531882 	 513 	 32610.00 	 100533 
 wary 	 4 	 86361 	 435927 	 23741 	 116522.00 	 290766 
 Oh! 	 1 	 115216 	 115216 	 0 	 0.00 	 0 
 midway 	 4 	 120472 	 493573 	 73006 	 124367.00 	 192829 
 sleepily 	 1 	 135283 	 135283 	 0 	 0.00 	 0 
 agency 	 10 	 140493 	 606247 	 452 	 51750.45 	 214209 
 Amoy 	 1 	 140658 	 140658 	 0 	 0.00 	 0 
 Mutiny 	 1 	 243445 	 243445 	 0 	 0.00 	 0 
 Teddy 	 4 	 244444 	 486161 	 14 	 80572.34 	 236485 
 embassy 	 3 	 260213 	 570098 	 445 	 154942.50 	 309440 
 Murder! 	 1 	 310743 	 310743 	 0 	 0.00 	 0 
 too! 	 2 	 340090 	 646472 	 306382 	 306382.00 	 306382 
 Theresa 	 9 	 373107 	 380083 	 26 	 872.00 	 4938 
 stain! 	 1 	 386871 	 386871 	 0 	 0.00 	 0 
 habitually 	 2 	 390857 	 645693 	 254836 	 254836.00 	 254836 
 Order! 	 1 	 489540 	 489540 	 0 	 0.00 	 0 
 affability 	 1 	 577944 	 577944 	 0 	 0.00 	 0 
 study--a 	 1 	 579502 	 579502 	 0 	 0.00 	 0 
 "Probably 	 1 	 599585 	 599585 	 0 	 0.00 	 0 
 ma 	 1 	 603216 	 603216 	 0 	 0.00 	 0 
 yet! 	 1 	 618199 	 618199 	 0 	 0.00 	 0 
 neighbourhood--a 	 1 	 636219 	 636219 	 0 	 0.00 	 0 
 alone." 	 10 	 1289 	 629009 	 7457 	 69746.66 	 233596 
 people?" 	 1 	 5808 	 5808 	 0 	 0.00 	 0 
 Doctor," 	 9 	 10360 	 582826 	 4113 	 71558.25 	 427083 
 her," 	 3 	 14884 	 556717 	 51676 	 270916.50 	 490157 
 disremember 	 1 	 23821 	 23821 	 0 	 0.00 	 0 
 sooner 	 38 	 30869 	 642188 	 40 	 16522.13 	 101985 
 seven!" 	 1 	 32964 	 32964 	 0 	 0.00 	 0 
 contemplar 	 1 	 43713 	 43713 	 0 	 0.00 	 0 
 return." 	 5 	 56694 	 487978 	 22862 	 107821.00 	 273411 
 ladder?" 	 1 	 61477 	 61477 	 0 	 0.00 	 0 
 clear," 	 7 	 65171 	 562814 	 25090 	 82940.50 	 147852 
 both," 	 3 	 86352 	 454671 	 159526 	 184159.50 	 208793 
 Angel." 	 5 	 105676 	 109681 	 74 	 1001.25 	 3203 
 per 	 5 	 106004 	 604692 	 7706 	 124672.00 	 243640 
 premises." 	 1 	 106728 	 106728 	 0 	 0.00 	 0 
 Chronicle," 	 2 	 107783 	 520243 	 412460 	 412460.00 	 412460 
 confession," 	 1 	 113241 	 113241 	 0 	 0.00 	 0 
 Eyford." 	 1 	 162163 	 162163 	 0 	 0.00 	 0 
 stable-boy?" 	 1 	 194878 	 194878 	 0 	 0.00 	 0 
 Birmingham." 	 1 	 212148 	 212148 	 0 	 0.00 	 0 
 companion: 	 1 	 218969 	 218969 	 0 	 0.00 	 0 
 Cunningham." 	 1 	 234394 	 234394 	 0 	 0.00 	 0 
 "'Answer 	 1 	 246265 	 246265 	 0 	 0.00 	 0 
 billiard-marker 	 1 	 252629 	 252629 	 0 	 0.00 	 0 
 Percy?" 	 2 	 259870 	 267359 	 7489 	 7489.00 	 7489 
